source_market,source_record_index,source_identifier,stock_code,instrument_name,raw_security_type,normalized_security_type,included_in_stock_service,exclusion_reason,duplicate_group,listing_date_raw,listing_date_normalized,validation_result
KOSDAQ,1659,KR7261780001,261780,아리바이오랩,주권,COMMON,TRUE,,,20211022,2021-10-22,VALID
KOSDAQ,1660,KR7290690007,290690,아리바이오홀딩스,주권,COMMON,TRUE,,,20201106,2020-11-06,VALID
KOSDAQ,1661,KR7125210005,125210,아모그린텍,주권,COMMON,TRUE,,,20190329,2019-03-29,VALID
KOSDAQ,1662,KR7052710001,052710,아모텍,주권,COMMON,TRUE,,,20030801,2003-08-01,VALID
KOSDAQ,1663,KR7074430000,074430,아미노로직스,주권,COMMON,TRUE,,,20040604,2004-06-04,VALID
KOSDAQ,1664,KR7092040005,092040,아미코젠,주권,COMMON,TRUE,,,20130912,2013-09-12,VALID
KOSDAQ,1665,KR7083930008,083930,아바코,주권,COMMON,TRUE,,,20051011,2005-10-11,VALID
KOSDAQ,1666,KR7149950008,149950,아바텍,주권,COMMON,TRUE,,,20121106,2012-11-06,VALID
KOSDAQ,1667,KR7036010007,036010,아비코전자,주권,COMMON,TRUE,,,20020703,2002-07-03,VALID
KOSDAQ,1668,KR7050860006,050860,아세아텍,주권,COMMON,TRUE,,,20100126,2010-01-26,VALID
KOSDAQ,1669,KR7136410008,136410,아셈스,주권,COMMON,TRUE,,,20220207,2022-02-07,VALID
KOSDAQ,1670,KR7246720007,246720,아스타,주권,COMMON,TRUE,,,20170320,2017-03-20,VALID
KOSDAQ,1671,KR7450950001,450950,아스테라시스,주권,COMMON,TRUE,,,20250124,2025-01-24,VALID
KOSDAQ,1672,KR7067390005,067390,아스트,주권,COMMON,TRUE,,,20141224,2014-12-24,VALID
KOSDAQ,1673,KR7159010008,159010,아스플로,주권,COMMON,TRUE,,,20211007,2021-10-07,VALID
KOSDAQ,1674,KR7127710002,127710,아시아경제,주권,COMMON,TRUE,,,20150731,2015-07-31,VALID
KOSDAQ,1675,KR7227610003,227610,아우딘퓨쳐스,주권,COMMON,TRUE,,,20170712,2017-07-12,VALID
KOSDAQ,1676,KR7331740001,331740,아우토크립트,주권,COMMON,TRUE,,,20250715,2025-07-15,VALID
KOSDAQ,1677,KR7143160000,143160,아이디스,주권,COMMON,TRUE,,,20110926,2011-09-26,VALID
KOSDAQ,1678,KR7054800008,054800,아이디스홀딩스,주권,COMMON,TRUE,,,20010927,2001-09-27,VALID
KOSDAQ,1679,KR7332370006,332370,아이디피,주권,COMMON,TRUE,,,20200824,2020-08-24,VALID
KOSDAQ,1680,KR7066430000,066430,아이로보틱스,주권,COMMON,TRUE,,,20021224,2002-12-24,VALID
KOSDAQ,1681,KR7339950008,339950,아이비김영,주권,COMMON,TRUE,,,20191224,2019-12-24,VALID
KOSDAQ,1682,KR7469750004,469750,아이비젼웍스,주권,COMMON,TRUE,,,20240903,2024-09-03,VALID
KOSDAQ,1683,KR7469480008,469480,IBKS제24호스팩,주권,SPAC,FALSE,EXCLUDE_SPAC,,20240201,2024-02-01,VALID
KOSDAQ,1684,KR70099X0007,0099X0,IBKS제25호스팩,주권,SPAC,FALSE,EXCLUDE_SPAC,,20251219,2025-12-19,VALID
KOSDAQ,1685,KR7460470008,460470,아이빔테크놀로지,주권,COMMON,TRUE,,,20240806,2024-08-06,VALID
