market,source_short_code,source_standard_code,source_name,source_security_type,matched_instrument_id,match_method,result,reason_code
KRX_KOSPI,003547,003547,대신증권2우B,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003540,003540,대신증권,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,009190,009190,대양금속,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,014160,014160,대영포장,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,047040,047040,대우건설,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003090,003090,대웅,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,069620,069620,대웅제약,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000430,000430,대원강업,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,006345,006345,대원전선우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,006340,006340,대원전선,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003220,003220,대원제약,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,024890,024890,대원화성,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,015230,015230,대창단조,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,012800,012800,대창,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001070,001070,대한방직,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,006650,006650,대한유화,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001440,001440,대한전선,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,084010,084010,대한제강,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001795,001795,대한제당우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001790,001790,대한제당,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001130,001130,대한제분,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,439260,439260,대한조선,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003495,003495,대한항공우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003490,003490,대한항공,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,005880,005880,대한해운,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003830,003830,대한화섬,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,016090,016090,대현,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,069460,069460,대호에이엘,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,475560,475560,더본코리아,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,192080,192080,더블유게임즈,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,004835,004835,덕성우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,004830,004830,덕성,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,145720,145720,덴티움,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002150,002150,도화엔지니어링,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,460850,460850,동국씨엠,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,460860,460860,동국제강,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001230,001230,동국홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,004140,004140,동방,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,007590,007590,동방아그로,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,005965,005965,동부건설우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,005960,005960,동부건설,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,026960,026960,동서,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002210,002210,동성제약,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,102260,102260,동성케미컬,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000640,000640,동아쏘시오홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
